ano,mes,ceasa,produto,categoria,preco_medio_kg,quantidade_kg,fonte_arquivo,fonte_aba
2024,3,CEASA/ES - Vitória,ALFACE,Hortaliças,5.576599972287654,36085.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Alface; Quantidade-Alface
2024,3,CEASA/ES - Vitória,BANANA,Frutas,3.6248022852257993,2657768.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Banana; Quantidade-Banana
2024,3,CEASA/ES - Vitória,BATATA,Hortaliças,3.886681635203674,4128660.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Batata; Quantidade-Batata
2024,3,CEASA/ES - Vitória,CEBOLA,Hortaliças,5.574023777479938,719252.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Cebola; Quantidade-Cebola
2024,3,CEASA/ES - Vitória,CENOURA,Hortaliças,5.554832734342463,1114096.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Cenoura; Quantidade-Cenoura
2024,3,CEASA/ES - Vitória,LARANJA,Frutas,4.408523350434069,3297519.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Laranja; Quantidade-Laranja
2024,3,CEASA/ES - Vitória,MACA,Frutas,8.737627810793814,1858861.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Maçã; Quantidade-Maçã
2024,3,CEASA/ES - Vitória,MAMAO,Frutas,5.112241048500303,446657.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Mamão; Quantidade-Mamão
2024,3,CEASA/ES - Vitória,MELANCIA,Frutas,2.824722914917103,1090748.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Melancia; Quantidade-Melancia
2024,3,CEASA/ES - Vitória,TOMATE,Hortaliças,5.05374005153406,1416927.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Tomate; Quantidade-Tomate
